City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Barh,167,Unhealthy,4,Good,139,Unhealthy for Sensitive Groups,1,Good,167,Unhealthy
Barnstaple,34,Good,1,Good,23,Good,3,Good,34,Good
Barsbuttel,33,Good,0,Good,33,Good,1,Good,32,Good
Barwani,151,Unhealthy,1,Good,33,Good,0,Good,151,Unhealthy
Basirhat,176,Unhealthy,6,Good,89,Moderate,6,Good,176,Unhealthy
Batman,63,Moderate,1,Good,42,Good,2,Good,63,Moderate
Bauru,45,Good,1,Good,11,Good,2,Good,45,Good
Bocaue,65,Moderate,1,Good,23,Good,1,Good,65,Moderate
Bochil,56,Moderate,2,Good,17,Good,4,Good,56,Moderate
Bogdanovich,54,Moderate,1,Good,33,Good,2,Good,54,Moderate
Boguchany,38,Good,1,Good,30,Good,0,Good,38,Good
Borodyanka,81,Moderate,1,Good,37,Good,1,Good,81,Moderate
Botelhos,47,Good,1,Good,9,Good,2,Good,47,Good
Bouake,62,Moderate,2,Good,15,Good,1,Good,62,Moderate
Brad,64,Moderate,1,Good,39,Good,1,Good,64,Moderate
Brakpan,236,Very Unhealthy,16,Good,10,Good,16,Good,236,Very Unhealthy
Brattleboro,31,Good,1,Good,25,Good,4,Good,31,Good
Breaza,52,Moderate,1,Good,41,Good,0,Good,52,Moderate
Brejo Da Madre De Deus,27,Good,0,Good,15,Good,1,Good,27,Good
Bruchkobel,51,Moderate,1,Good,27,Good,3,Good,51,Moderate
Brzeszcze,96,Moderate,2,Good,31,Good,6,Good,96,Moderate
Brzeziny,66,Moderate,1,Good,28,Good,3,Good,66,Moderate
Buayan,36,Good,0,Good,16,Good,0,Good,36,Good
Bulgan,37,Good,1,Good,37,Good,0,Good,12,Good
Bulolo,13,Good,0,Good,13,Good,0,Good,7,Good
Bundaberg,32,Good,0,Good,32,Good,0,Good,10,Good
Buqayq,183,Unhealthy,1,Good,54,Moderate,0,Good,183,Unhealthy
Burgas,40,Good,1,Good,40,Good,0,Good,25,Good
Burglengenfeld,43,Good,1,Good,35,Good,2,Good,43,Good
Caapora,26,Good,0,Good,23,Good,1,Good,26,Good
Cabral,76,Moderate,2,Good,10,Good,9,Good,76,Moderate
Cacahoatan,102,Unhealthy for Sensitive Groups,3,Good,11,Good,9,Good,102,Unhealthy for Sensitive Groups
Cacalomacan,80,Moderate,2,Good,10,Good,9,Good,80,Moderate
Caceres,27,Good,1,Good,27,Good,2,Good,23,Good
Cajati,33,Good,1,Good,10,Good,1,Good,33,Good
Caldas De Vizela,24,Good,1,Good,24,Good,2,Good,22,Good
Caluquembe,42,Good,2,Good,12,Good,0,Good,42,Good
Cambui,54,Moderate,1,Good,11,Good,3,Good,54,Moderate
Canela,51,Moderate,1,Good,14,Good,3,Good,51,Moderate
Canelli,78,Moderate,1,Good,37,Good,3,Good,78,Moderate
Canon City,74,Moderate,1,Good,24,Good,4,Good,74,Moderate
Cantu,111,Unhealthy for Sensitive Groups,1,Good,34,Good,5,Good,111,Unhealthy for Sensitive Groups
Carambei,30,Good,0,Good,15,Good,0,Good,30,Good
Carmagnola,82,Moderate,1,Good,38,Good,3,Good,82,Moderate
Carmen,80,Moderate,1,Good,26,Good,0,Good,80,Moderate
Casas Adobes,42,Good,1,Good,14,Good,11,Good,42,Good
Surdulica,59,Moderate,1,Good,37,Good,0,Good,59,Moderate
Sutton In Ashfield,34,Good,0,Good,31,Good,2,Good,34,Good
Swellendam,71,Moderate,2,Good,4,Good,3,Good,71,Moderate
Tachi,170,Unhealthy,3,Good,170,Unhealthy,1,Good,120,Unhealthy for Sensitive Groups
Tacloban,64,Moderate,1,Good,23,Good,0,Good,64,Moderate
Tadotsu,45,Good,1,Good,45,Good,1,Good,26,Good
Tahara,44,Good,1,Good,44,Good,1,Good,19,Good
Talesh,46,Good,1,Good,35,Good,0,Good,46,Good
Tamarac,150,Unhealthy,4,Good,4,Good,18,Good,150,Unhealthy
Tanah Merah,76,Moderate,1,Good,30,Good,0,Good,76,Moderate
Tanggu,134,Unhealthy for Sensitive Groups,4,Good,111,Unhealthy for Sensitive Groups,5,Good,134,Unhealthy for Sensitive Groups
Tanjong Malim,90,Moderate,2,Good,47,Good,0,Good,90,Moderate
Tarnos,60,Moderate,1,Good,45,Good,1,Good,60,Moderate
Tassin La Demi Lune,30,Good,1,Good,24,Good,3,Good,30,Good
Tauberbischofsheim,52,Moderate,1,Good,34,Good,3,Good,52,Moderate
Tawkar,152,Unhealthy,1,Good,27,Good,0,Good,152,Unhealthy
Taylorville,57,Moderate,1,Good,37,Good,6,Good,57,Moderate
Tecoman,28,Good,1,Good,11,Good,2,Good,28,Good
Tecuala,54,Moderate,1,Good,12,Good,1,Good,54,Moderate
Tejupilco,67,Moderate,2,Good,4,Good,6,Good,67,Moderate
Tempe,52,Moderate,1,Good,12,Good,20,Good,52,Moderate
Temple Terrace,73,Moderate,1,Good,10,Good,20,Good,73,Moderate
Tenancingo,224,Very Unhealthy,4,Good,0,Good,15,Good,224,Very Unhealthy
Ternate,22,Good,1,Good,16,Good,0,Good,22,Good
Terrell,60,Moderate,1,Good,20,Good,4,Good,60,Moderate
The Colony,71,Moderate,1,Good,17,Good,6,Good,71,Moderate
Thivai,43,Good,1,Good,43,Good,0,Good,25,Good
Thouars,30,Good,1,Good,30,Good,2,Good,26,Good
Tijuana,59,Moderate,2,Good,20,Good,17,Good,59,Moderate
Tingi,24,Good,0,Good,17,Good,0,Good,24,Good
Tinsukia,40,Good,1,Good,27,Good,0,Good,40,Good
Tirumullaivasal,59,Moderate,1,Good,32,Good,0,Good,59,Moderate
Tokzar,77,Moderate,1,Good,40,Good,0,Good,77,Moderate
Tolu,58,Moderate,2,Good,0,Good,6,Good,58,Moderate
Tomilino,60,Moderate,1,Good,20,Good,15,Good,60,Moderate
Torre Del Greco,52,Moderate,2,Good,36,Good,10,Good,52,Moderate
Touba,29,Good,1,Good,14,Good,0,Good,29,Good
Tournefeuille,31,Good,1,Good,29,Good,2,Good,31,Good
Tripoli,44,Good,1,Good,44,Good,0,Good,30,Good
Trujillo,47,Good,1,Good,16,Good,2,Good,47,Good
Tucuma,46,Good,0,Good,18,Good,0,Good,46,Good
Turnov,63,Moderate,1,Good,26,Good,3,Good,63,Moderate
Tutayev,35,Good,1,Good,28,Good,2,Good,35,Good
Tuy Hoa,51,Moderate,1,Good,26,Good,0,Good,51,Moderate
Tuysarkan,67,Moderate,1,Good,48,Good,0,Good,67,Moderate
Uaua,20,Good,0,Good,13,Good,1,Good,20,Good
Union Hidalgo,72,Moderate,1,Good,19,Good,1,Good,72,Moderate
Universal City,31,Good,1,Good,18,Good,2,Good,31,Good
Urdaneta,77,Moderate,1,Good,26,Good,1,Good,77,Moderate
Urlati,46,Good,1,Good,39,Good,2,Good,46,Good
Usa River,45,Good,1,Good,10,Good,0,Good,45,Good
Usti Nad Orlici,58,Moderate,1,Good,25,Good,3,Good,58,Moderate
Utete,30,Good,0,Good,17,Good,0,Good,30,Good
Uttarkashi,65,Moderate,1,Good,57,Moderate,0,Good,65,Moderate
Uusikaupunki,28,Good,1,Good,28,Good,1,Good,5,Good
Uzhhorod,68,Moderate,1,Good,41,Good,1,Good,68,Moderate
Valenca,15,Good,0,Good,15,Good,0,Good,15,Good
Varedo,78,Moderate,1,Good,43,Good,2,Good,78,Moderate
Vega Alta,113,Unhealthy for Sensitive Groups,1,Good,24,Good,0,Good,113,Unhealthy for Sensitive Groups
Velez,53,Moderate,2,Good,3,Good,5,Good,53,Moderate
Venissieux,31,Good,1,Good,25,Good,3,Good,31,Good
Vernouillet,60,Moderate,1,Good,20,Good,6,Good,60,Moderate
Verwoerdburg,201,Very Unhealthy,21,Good,12,Good,16,Good,201,Very Unhealthy
Vichuga,52,Moderate,1,Good,25,Good,5,Good,52,Moderate
Vikravandi,70,Moderate,1,Good,31,Good,2,Good,70,Moderate
Vilar Do Paraiso,29,Good,0,Good,29,Good,2,Good,21,Good
Villeta,90,Moderate,2,Good,5,Good,3,Good,90,Moderate
Villingen Schwenningen,68,Moderate,1,Good,25,Good,3,Good,68,Moderate
Viransehir,63,Moderate,1,Good,39,Good,0,Good,63,Moderate
Viroflay,63,Moderate,1,Good,18,Good,7,Good,63,Moderate
Visconde Do Rio Branco,36,Good,1,Good,14,Good,1,Good,36,Good
Visselhovede,33,Good,0,Good,33,Good,1,Good,33,Good
Vittoria,57,Moderate,2,Good,26,Good,6,Good,57,Moderate
Vohringen,71,Moderate,1,Good,32,Good,2,Good,71,Moderate
Voisins Le Bretonneux,63,Moderate,1,Good,17,Good,7,Good,63,Moderate
Volterra,35,Good,1,Good,35,Good,4,Good,13,Good
Vurnary,55,Moderate,1,Good,29,Good,1,Good,55,Moderate
Wadern,53,Moderate,1,Good,30,Good,3,Good,53,Moderate
Wadersloh,46,Good,0,Good,32,Good,2,Good,46,Good
Walker,47,Good,1,Good,37,Good,4,Good,47,Good
Wanaraja,57,Moderate,1,Good,29,Good,1,Good,57,Moderate
Warendorf,39,Good,0,Good,34,Good,1,Good,39,Good
Wedel,33,Good,0,Good,33,Good,1,Good,31,Good
Wejherowo,33,Good,0,Good,33,Good,0,Good,25,Good
Wells,29,Good,1,Good,29,Good,5,Good,29,Good
Wendlingen,64,Moderate,1,Good,27,Good,3,Good,64,Moderate
Wermelskirchen,47,Good,1,Good,27,Good,3,Good,47,Good
West Bend,54,Moderate,2,Good,26,Good,12,Good,54,Moderate
West Saint Paul,50,Good,1,Good,37,Good,5,Good,50,Good
Wetaskiwin,41,Good,1,Good,41,Good,0,Good,9,Good
Wetzikon,113,Unhealthy for Sensitive Groups,1,Good,28,Good,2,Good,113,Unhealthy for Sensitive Groups
Willimantic,35,Good,1,Good,25,Good,7,Good,35,Good
Winnetka,63,Moderate,2,Good,23,Good,21,Good,63,Moderate
Wisla,77,Moderate,1,Good,37,Good,2,Good,77,Moderate
Woodbury,56,Moderate,2,Good,19,Good,16,Good,56,Moderate
Wright,72,Moderate,1,Good,29,Good,2,Good,72,Moderate
Wundanyi,40,Good,1,Good,14,Good,0,Good,40,Good
Xiazhen,151,Unhealthy,3,Good,151,Unhealthy,4,Good,99,Moderate
Xiongyue,115,Unhealthy for Sensitive Groups,3,Good,115,Unhealthy for Sensitive Groups,1,Good,99,Moderate
Yagoua,57,Moderate,2,Good,14,Good,0,Good,57,Moderate
Yahualica,51,Moderate,1,Good,9,Good,4,Good,51,Moderate
Yeadon,59,Moderate,2,Good,17,Good,18,Good,59,Moderate
Yoshikawa,51,Moderate,1,Good,46,Good,4,Good,51,Moderate
Yotsukaido,60,Moderate,1,Good,60,Moderate,3,Good,46,Good
Yudong,171,Unhealthy,9,Good,24,Good,24,Good,171,Unhealthy
Zevenaar,37,Good,0,Good,32,Good,2,Good,37,Good
Zhangzhou,145,Unhealthy for Sensitive Groups,3,Good,145,Unhealthy for Sensitive Groups,3,Good,107,Unhealthy for Sensitive Groups
Zhumadian,137,Unhealthy for Sensitive Groups,2,Good,137,Unhealthy for Sensitive Groups,2,Good,81,Moderate
Zlobin,71,Moderate,1,Good,35,Good,0,Good,71,Moderate
Zorritos,26,Good,1,Good,20,Good,0,Good,26,Good
Behbahan,133,Unhealthy for Sensitive Groups,1,Good,72,Moderate,0,Good,133,Unhealthy for Sensitive Groups
Bellegarde Sur Valserine,54,Moderate,1,Good,28,Good,1,Good,54,Moderate
Beloretsk,37,Good,1,Good,37,Good,0,Good,34,Good
Belyye Berega,37,Good,1,Good,37,Good,0,Good,10,Good
Ben Tre,77,Moderate,1,Good,27,Good,2,Good,77,Moderate
Beni Mazar,95,Moderate,1,Good,52,Moderate,2,Good,95,Moderate
Bensonville,56,Moderate,1,Good,18,Good,0,Good,56,Moderate
Bethel Park,44,Good,1,Good,44,Good,4,Good,36,Good
Bethune,49,Good,1,Good,28,Good,3,Good,49,Good
Bezenchuk,49,Good,1,Good,38,Good,0,Good,49,Good
Bhavani,57,Moderate,1,Good,29,Good,1,Good,57,Moderate
Biala Podlaska,42,Good,1,Good,39,Good,0,Good,42,Good
Bielawa,69,Moderate,1,Good,21,Good,4,Good,69,Moderate
Biella,90,Moderate,1,Good,40,Good,2,Good,90,Moderate
Big Spring,61,Moderate,1,Good,30,Good,1,Good,61,Moderate
Bingen,53,Moderate,1,Good,27,Good,3,Good,53,Moderate
Birkerod,36,Good,1,Good,36,Good,1,Good,26,Good
Bound Brook,64,Moderate,2,Good,14,Good,20,Good,64,Moderate
Broadstairs,41,Good,0,Good,35,Good,1,Good,41,Good
Soller,51,Moderate,1,Good,51,Moderate,1,Good,18,Good
Somerset East,63,Moderate,2,Good,7,Good,3,Good,63,Moderate
Sommerda,58,Moderate,1,Good,31,Good,5,Good,58,Moderate
Somotillo,77,Moderate,2,Good,3,Good,7,Good,77,Moderate
Soro,97,Moderate,2,Good,51,Moderate,0,Good,97,Moderate
Sosenskiy,34,Good,1,Good,34,Good,0,Good,34,Good
South Lyon,87,Moderate,2,Good,23,Good,14,Good,87,Moderate
South River,55,Moderate,2,Good,27,Good,11,Good,55,Moderate
Sri Aman,50,Good,1,Good,10,Good,0,Good,50,Good
Sri Madhopur,283,Very Unhealthy,1,Good,43,Good,0,Good,283,Very Unhealthy
Stadtallendorf,72,Moderate,2,Good,34,Good,7,Good,72,Moderate
Staraya Russa,31,Good,1,Good,31,Good,0,Good,20,Good
Starominskaya,38,Good,1,Good,38,Good,1,Good,4,Good
Suar,126,Unhealthy for Sensitive Groups,3,Good,85,Moderate,1,Good,126,Unhealthy for Sensitive Groups
Suisun City,50,Good,1,Good,25,Good,10,Good,50,Good
Sukaraja,67,Moderate,1,Good,40,Good,1,Good,67,Moderate
Sumbawanga,23,Good,0,Good,21,Good,0,Good,23,Good
Sun Prairie,41,Good,1,Good,26,Good,4,Good,41,Good
Upper Arlington,74,Moderate,2,Good,27,Good,13,Good,74,Moderate
Urtaaul,150,Unhealthy,1,Good,84,Moderate,2,Good,150,Unhealthy
Usinsk,32,Good,1,Good,31,Good,0,Good,32,Good
Usolye Sibirskoye,52,Moderate,1,Good,43,Good,1,Good,52,Moderate
Ustka,41,Good,1,Good,25,Good,1,Good,41,Good
Utiel,55,Moderate,1,Good,28,Good,2,Good,55,Moderate
Uyar,32,Good,1,Good,32,Good,0,Good,15,Good
Vaerlose,36,Good,1,Good,29,Good,3,Good,36,Good
Valea Calugareasca,50,Good,1,Good,42,Good,0,Good,50,Good
Valinda,140,Unhealthy for Sensitive Groups,4,Good,2,Good,34,Good,140,Unhealthy for Sensitive Groups
Vedaranniyam,57,Moderate,1,Good,34,Good,0,Good,57,Moderate
Vientiane,45,Good,1,Good,26,Good,0,Good,45,Good
Enns,62,Moderate,1,Good,39,Good,1,Good,62,Moderate
Erd,62,Moderate,1,Good,39,Good,2,Good,62,Moderate
Erode,56,Moderate,1,Good,29,Good,1,Good,56,Moderate
Espergaerde,36,Good,1,Good,36,Good,1,Good,27,Good
Este,94,Moderate,1,Good,36,Good,5,Good,94,Moderate
Ewa Beach,30,Good,0,Good,26,Good,0,Good,30,Good
Fallbrook,74,Moderate,2,Good,0,Good,23,Good,74,Moderate
Fartura,32,Good,1,Good,13,Good,1,Good,32,Good
Fasa,93,Moderate,1,Good,65,Moderate,0,Good,93,Moderate
Ferraz De Vasconcelos,146,Unhealthy for Sensitive Groups,4,Good,3,Good,15,Good,146,Unhealthy for Sensitive Groups
Floirac,51,Moderate,1,Good,38,Good,1,Good,51,Moderate
Florissant,88,Moderate,2,Good,11,Good,20,Good,88,Moderate
Forest Park,81,Moderate,2,Good,15,Good,19,Good,81,Moderate
Formiga,44,Good,1,Good,6,Good,3,Good,44,Good
Ermoupolis,45,Good,1,Good,45,Good,0,Good,25,Good
Espinal,103,Unhealthy for Sensitive Groups,4,Good,4,Good,7,Good,103,Unhealthy for Sensitive Groups
Olintepeque,94,Moderate,3,Good,9,Good,11,Good,94,Moderate
Olonets,33,Good,1,Good,28,Good,0,Good,33,Good
Olpe,50,Good,1,Good,27,Good,3,Good,50,Good
Opwijk,43,Good,1,Good,28,Good,4,Good,43,Good
Oregon,42,Good,1,Good,42,Good,6,Good,33,Good
Osa,35,Good,1,Good,35,Good,0,Good,32,Good
Osmanabad,93,Moderate,0,Good,25,Good,0,Good,93,Moderate
Oss,37,Good,0,Good,32,Good,2,Good,37,Good
Oswego,54,Moderate,2,Good,28,Good,11,Good,54,Moderate
Otsuki,41,Good,1,Good,41,Good,1,Good,26,Good
Ouricuri,21,Good,0,Good,14,Good,0,Good,21,Good
Ouro Preto Do Oeste,53,Moderate,2,Good,0,Good,2,Good,53,Moderate
Ovejas,60,Moderate,2,Good,1,Good,8,Good,60,Moderate
Overath,48,Good,1,Good,24,Good,4,Good,48,Good
Pacajus,25,Good,0,Good,19,Good,1,Good,25,Good
Pak Phanang,69,Moderate,2,Good,34,Good,0,Good,69,Moderate
Palau,54,Moderate,1,Good,20,Good,0,Good,54,Moderate
Palestrina,43,Good,1,Good,43,Good,3,Good,30,Good
Pandaria,186,Unhealthy,1,Good,42,Good,0,Good,186,Unhealthy
Pandhana,153,Unhealthy,0,Good,35,Good,0,Good,153,Unhealthy
Papillion,47,Good,1,Good,35,Good,6,Good,47,Good
Parainen,28,Good,1,Good,28,Good,3,Good,15,Good
Paraipaba,42,Good,0,Good,21,Good,1,Good,42,Good
Parichhatgarh,173,Unhealthy,4,Good,173,Unhealthy,3,Good,159,Unhealthy
Parli,95,Moderate,1,Good,31,Good,0,Good,95,Moderate
Pattukkottai,63,Moderate,1,Good,35,Good,0,Good,63,Moderate
Pawai,196,Unhealthy,1,Good,42,Good,0,Good,196,Unhealthy
Pedregulho,42,Good,1,Good,7,Good,2,Good,42,Good
Pennagaram,56,Moderate,0,Good,24,Good,1,Good,56,Moderate
Peravurani,62,Moderate,1,Good,35,Good,0,Good,62,Moderate
Pestovo,42,Good,1,Good,34,Good,0,Good,42,Good
Petrolandia,22,Good,0,Good,12,Good,1,Good,22,Good
Petrosani,57,Moderate,1,Good,41,Good,0,Good,57,Moderate
Petrozavodsk,28,Good,1,Good,28,Good,1,Good,13,Good
Pezinok,67,Moderate,1,Good,38,Good,2,Good,67,Moderate
Phalodi,500,Hazardous,0,Good,34,Good,0,Good,467,Hazardous
Pharr,150,Unhealthy,3,Good,15,Good,6,Good,150,Unhealthy
Philadelphia,61,Moderate,2,Good,16,Good,19,Good,61,Moderate
Pinahat,297,Very Unhealthy,1,Good,54,Moderate,1,Good,297,Very Unhealthy
Pineville,48,Good,1,Good,15,Good,4,Good,48,Good
Pingshan,133,Unhealthy for Sensitive Groups,3,Good,133,Unhealthy for Sensitive Groups,2,Good,90,Moderate
Pingzhuang,101,Unhealthy for Sensitive Groups,2,Good,87,Moderate,0,Good,101,Unhealthy for Sensitive Groups
Piombino,40,Good,1,Good,40,Good,0,Good,19,Good
Piracaia,102,Unhealthy for Sensitive Groups,3,Good,7,Good,8,Good,102,Unhealthy for Sensitive Groups
Pisa,39,Good,1,Good,39,Good,2,Good,22,Good
Ploemeur,32,Good,1,Good,32,Good,2,Good,31,Good
Pokrovka,58,Moderate,1,Good,42,Good,0,Good,58,Moderate
Pokrovskoye,38,Good,1,Good,38,Good,2,Good,15,Good
Polohy,40,Good,1,Good,40,Good,0,Good,8,Good
Pomorie,40,Good,1,Good,40,Good,0,Good,25,Good
Porbandar,167,Unhealthy,0,Good,23,Good,0,Good,167,Unhealthy
Port Dickson,90,Moderate,2,Good,39,Good,0,Good,90,Moderate
Port Macquarie,29,Good,0,Good,29,Good,0,Good,7,Good
Porto,28,Good,0,Good,28,Good,2,Good,21,Good
Potchefstroom,188,Unhealthy,11,Good,15,Good,15,Good,188,Unhealthy
Poznan,36,Good,1,Good,30,Good,2,Good,36,Good
Prachin Buri,57,Moderate,1,Good,30,Good,1,Good,57,Moderate
Pradopolis,62,Moderate,2,Good,7,Good,4,Good,62,Moderate
Prato,37,Good,1,Good,37,Good,3,Good,18,Good
Prigen,153,Unhealthy,3,Good,84,Moderate,2,Good,153,Unhealthy
Priverno,40,Good,1,Good,40,Good,2,Good,21,Good
Puerto Real,32,Good,1,Good,32,Good,2,Good,32,Good
Putignano,48,Good,1,Good,48,Good,2,Good,25,Good
Qax,32,Good,1,Good,32,Good,0,Good,28,Good
Qingquan,178,Unhealthy,4,Good,178,Unhealthy,3,Good,132,Unhealthy for Sensitive Groups
Quarteira,38,Good,1,Good,38,Good,2,Good,24,Good
Quartz Hill,72,Moderate,2,Good,28,Good,14,Good,72,Moderate
Rabwah,163,Unhealthy,2,Good,148,Unhealthy for Sensitive Groups,1,Good,163,Unhealthy
Ragusa,54,Moderate,1,Good,28,Good,5,Good,54,Moderate
Rajpura,143,Unhealthy for Sensitive Groups,2,Good,143,Unhealthy for Sensitive Groups,1,Good,138,Unhealthy for Sensitive Groups
Rosenberg,34,Good,1,Good,18,Good,4,Good,34,Good
Rottingdean,52,Moderate,1,Good,28,Good,5,Good,52,Moderate
Roznov,60,Moderate,1,Good,39,Good,1,Good,60,Moderate
Rubio,34,Good,1,Good,10,Good,3,Good,34,Good
Ruda Slaska,113,Unhealthy for Sensitive Groups,2,Good,23,Good,11,Good,113,Unhealthy for Sensitive Groups
Ruse,37,Good,1,Good,37,Good,1,Good,36,Good
Rushden,50,Good,1,Good,29,Good,4,Good,50,Good
Russellville,79,Moderate,1,Good,23,Good,4,Good,79,Moderate
Rye,70,Moderate,2,Good,12,Good,24,Good,70,Moderate
Sabae,43,Good,1,Good,43,Good,0,Good,25,Good
Sabzevar,116,Unhealthy for Sensitive Groups,1,Good,42,Good,0,Good,116,Unhealthy for Sensitive Groups
Sagamihara,50,Good,1,Good,50,Good,3,Good,43,Good
Sagara,46,Good,1,Good,46,Good,0,Good,20,Good
Sahaspur,182,Unhealthy,3,Good,182,Unhealthy,1,Good,151,Unhealthy
Saint Helens,39,Good,1,Good,25,Good,7,Good,39,Good
Saint Andre Les Vergers,29,Good,1,Good,29,Good,2,Good,23,Good
Saint Michel Sur Orge,56,Moderate,1,Good,20,Good,6,Good,56,Moderate
Saint Sebastien Sur Loire,32,Good,1,Good,27,Good,2,Good,32,Good
Sainte Luce Sur Loire,32,Good,1,Good,27,Good,2,Good,32,Good
Sakaiminato,44,Good,1,Good,44,Good,0,Good,34,Good
Sale,34,Good,1,Good,30,Good,3,Good,34,Good
Salina Cruz,60,Moderate,1,Good,23,Good,1,Good,60,Moderate
Sallaumines,50,Good,1,Good,25,Good,4,Good,50,Good
Sambava,22,Good,0,Good,22,Good,0,Good,15,Good
Samdrup Jongkhar,31,Good,1,Good,27,Good,0,Good,31,Good
San Bernardo,240,Very Unhealthy,15,Good,0,Good,24,Good,240,Very Unhealthy
San German,129,Unhealthy for Sensitive Groups,1,Good,24,Good,0,Good,129,Unhealthy for Sensitive Groups
San Giorgio Ionico,48,Good,1,Good,48,Good,3,Good,39,Good
San Jose Del Guaviare,27,Good,1,Good,7,Good,0,Good,27,Good
San Jose,45,Good,1,Good,17,Good,0,Good,45,Good
San Josecito,83,Moderate,2,Good,2,Good,14,Good,83,Moderate
San Pablo,55,Moderate,1,Good,15,Good,17,Good,55,Moderate
San Rafael Arriba,79,Moderate,2,Good,5,Good,13,Good,79,Moderate
Sanlucar La Mayor,30,Good,1,Good,30,Good,2,Good,25,Good
Sanquelim,84,Moderate,0,Good,25,Good,0,Good,84,Moderate
Sansepolcro,37,Good,1,Good,37,Good,2,Good,20,Good
Santa Clara,66,Moderate,2,Good,9,Good,20,Good,66,Moderate
Santa Maria A Vico,41,Good,2,Good,37,Good,8,Good,41,Good
Santo Domingo,70,Moderate,2,Good,3,Good,7,Good,70,Moderate
Santo Tomas,85,Moderate,2,Good,18,Good,7,Good,85,Moderate
Sao Bernardo Do Campo,142,Unhealthy for Sensitive Groups,4,Good,4,Good,16,Good,142,Unhealthy for Sensitive Groups
Sao Joao Da Barra,54,Moderate,1,Good,13,Good,2,Good,54,Moderate
Sao Lourenco Da Serra,112,Unhealthy for Sensitive Groups,3,Good,6,Good,12,Good,112,Unhealthy for Sensitive Groups
Saquarema,83,Moderate,2,Good,11,Good,7,Good,83,Moderate
Sarakhs,90,Moderate,1,Good,45,Good,0,Good,90,Moderate
Saverne,65,Moderate,1,Good,21,Good,4,Good,65,Moderate
Savona,37,Good,1,Good,37,Good,2,Good,34,Good
Sayyan,179,Unhealthy,1,Good,44,Good,0,Good,179,Unhealthy
Schifferstadt,52,Moderate,1,Good,30,Good,3,Good,52,Moderate
Schiltigheim,65,Moderate,1,Good,23,Good,4,Good,65,Moderate
Schmelz,52,Moderate,1,Good,29,Good,3,Good,52,Moderate
Schramberg,69,Moderate,1,Good,26,Good,3,Good,69,Moderate
Schriesheim,53,Moderate,1,Good,31,Good,3,Good,53,Moderate
Schwechat,66,Moderate,1,Good,37,Good,2,Good,66,Moderate
Schwedt,35,Good,0,Good,33,Good,1,Good,35,Good
Sebring,55,Moderate,1,Good,11,Good,11,Good,55,Moderate
Selu,126,Unhealthy for Sensitive Groups,1,Good,34,Good,0,Good,126,Unhealthy for Sensitive Groups
Senica,64,Moderate,1,Good,39,Good,1,Good,64,Moderate
Serekunda,158,Unhealthy,1,Good,30,Good,1,Good,158,Unhealthy
Sesto Fiorentino,36,Good,1,Good,36,Good,3,Good,17,Good
Shadegan,151,Unhealthy,1,Good,80,Moderate,0,Good,151,Unhealthy
Sherlovaya Gora,32,Good,1,Good,32,Good,0,Good,20,Good
Shimabara,47,Good,1,Good,47,Good,1,Good,43,Good
Shirhatti,53,Moderate,0,Good,23,Good,0,Good,53,Moderate
Sibolga,35,Good,0,Good,14,Good,0,Good,35,Good
Siddapur,52,Moderate,0,Good,23,Good,0,Good,52,Moderate
Simleu Silvaniei,67,Moderate,1,Good,37,Good,1,Good,67,Moderate
Sines,34,Good,1,Good,34,Good,3,Good,31,Good
Sing Buri,32,Good,0,Good,26,Good,0,Good,32,Good
Skegness,35,Good,0,Good,35,Good,1,Good,22,Good
Skuratovskiy,31,Good,1,Good,31,Good,1,Good,23,Good
Slobodskoy,34,Good,1,Good,25,Good,2,Good,34,Good
Sodertalje,29,Good,1,Good,29,Good,0,Good,21,Good
Sokolka,36,Good,0,Good,36,Good,0,Good,31,Good
Rapallo,45,Good,1,Good,45,Good,2,Good,34,Good
Rasulnagar,155,Unhealthy,2,Good,155,Unhealthy,1,Good,124,Unhealthy for Sensitive Groups
Regeneracao,39,Good,1,Good,9,Good,1,Good,39,Good
Richha,177,Unhealthy,4,Good,177,Unhealthy,1,Good,156,Unhealthy
Riedlingen,78,Moderate,1,Good,28,Good,3,Good,78,Moderate
Rielasingen Worblingen,94,Moderate,1,Good,29,Good,2,Good,94,Moderate
Riverton,54,Moderate,1,Good,13,Good,12,Good,54,Moderate
Rochdale,30,Good,1,Good,30,Good,3,Good,28,Good
Rocklin,70,Moderate,2,Good,8,Good,23,Good,70,Moderate
Rolim De Moura,32,Good,1,Good,2,Good,0,Good,32,Good
Romita,57,Moderate,1,Good,14,Good,4,Good,57,Moderate
Non Sung,50,Good,1,Good,28,Good,0,Good,50,Good
North Massapequa,63,Moderate,2,Good,16,Good,21,Good,63,Moderate
Norwood,34,Good,1,Good,24,Good,8,Good,34,Good
Nova Venecia,30,Good,1,Good,17,Good,1,Good,30,Good
Novato,40,Good,1,Good,22,Good,9,Good,40,Good
Novo Cruzeiro,23,Good,0,Good,12,Good,0,Good,23,Good
Novorossiysk,46,Good,1,Good,38,Good,1,Good,46,Good
Nueva Rosita,54,Moderate,1,Good,23,Good,1,Good,54,Moderate
Nyagan,32,Good,1,Good,32,Good,0,Good,15,Good
